[ 2025-03-27 03:34:27,894 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-03-27 03:34:28,263 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-03-27 03:34:28,743 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-03-27 03:34:28,747 ] 107 dagshub - INFO - Accessing as mohammedsaimquadri
[ 2025-03-27 03:34:29,128 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/mohammedsaimquadri/networksecurity "HTTP/1.1 200 OK"
[ 2025-03-27 03:34:29,478 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-03-27 03:34:29,488 ] 107 dagshub - INFO - Initialized MLflow to track repo "mohammedsaimquadri/networksecurity"
[ 2025-03-27 03:34:29,492 ] 107 dagshub - INFO - Repository mohammedsaimquadri/networksecurity initialized!
[ 2025-03-27 03:34:29,493 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-27 03:34:35,856 ] 65 root - INFO - performed train test split on the dataframe
[ 2025-03-27 03:34:35,856 ] 66 root - INFO - Exited split_train_test method of Data Ingestion class
[ 2025-03-27 03:34:35,857 ] 70 root - INFO - Exporting train and test file path.
[ 2025-03-27 03:34:35,934 ] 75 root - INFO - Exported train and test file path.
[ 2025-03-27 03:34:35,934 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-27 03:34:35,944 ] 28 root - INFO - Initiate the data validation
[ 2025-03-27 03:34:36,012 ] 34 root - INFO - Required number of columns:2
[ 2025-03-27 03:34:36,012 ] 35 root - INFO - Dataframe has columns=31
[ 2025-03-27 03:34:36,012 ] 34 root - INFO - Required number of columns:2
[ 2025-03-27 03:34:36,012 ] 35 root - INFO - Dataframe has columns=31
[ 2025-03-27 03:34:36,194 ] 30 root - INFO - Data Validation complete
[ 2025-03-27 03:34:36,194 ] 36 root - INFO - Initiate data transformation
[ 2025-03-27 03:34:36,195 ] 57 root - INFO - Entered initiate data transformation method of DataTransformation class
[ 2025-03-27 03:34:36,195 ] 59 root - INFO - starting data transformation
[ 2025-03-27 03:34:36,227 ] 44 root - INFO - Entered get transformer method of the DataTransformation class
[ 2025-03-27 03:34:36,227 ] 47 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-27 03:34:36,245 ] 60 root - INFO - Entered the save_object method of mainutils class
[ 2025-03-27 03:34:36,247 ] 64 root - INFO - Exited the save_object method of mainutils class
[ 2025-03-27 03:34:36,248 ] 38 root - INFO - Data Transformation complete
[ 2025-03-27 03:34:36,249 ] 42 root - INFO - Model training started.
[ 2025-03-27 03:39:36,653 ] 60 root - INFO - Entered the save_object method of mainutils class
[ 2025-03-27 03:39:37,042 ] 64 root - INFO - Exited the save_object method of mainutils class
[ 2025-03-27 03:39:37,043 ] 135 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='artifacts\\03_27_2025_03_34_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911755756161883, precision_score=0.9892690828102855, recall_score=0.9930894308943089), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725806451612903, precision_score=0.9702333065164923, recall_score=0.9749393694421988))
[ 2025-03-27 03:39:37,056 ] 46 root - INFO - Model training completed
